aX,aY,aZ,gX,gY,gZ
-0.01830000,-0.01260000,0.13940000,0.00168000,0.02156000,0.00329000
-0.01830000,-0.01260000,0.13940000,0.00168000,0.02156000,0.00329000
-0.03410000,0.00230000,0.12680000,-0.04823000,0.04725000,-0.00056000
-0.00860000,0.00740000,0.03480000,-0.05397000,0.02142000,-0.00196000
0.00120000,-0.02070000,0.10740000,0.00315000,-0.02016000,0.00224000
-0.00130000,-0.01560000,0.07410000,0.00903000,-0.00553000,0.00091000
-0.01390000,-0.00190000,0.09390000,0.02317000,0.00994000,0.00469000
-0.01390000,-0.00190000,0.09390000,0.02373000,0.00189000,0.00441000
-0.01860000,0.00050000,0.10800000,0.02373000,0.00189000,0.00441000
-0.01430000,-0.00690000,0.11490000,0.01099000,-0.00812000,-0.00231000
-0.00730000,-0.00890000,0.10480000,0.00098000,-0.01246000,-0.00462000
-0.00760000,-0.00900000,0.11000000,0.00161000,-0.01540000,-0.00063000
-0.01190000,-0.00750000,0.10770000,0.00665000,-0.01645000,0.00385000
-0.01190000,-0.00750000,0.10770000,0.00665000,-0.01645000,0.00385000
-0.00980000,-0.00460000,0.09890000,0.01050000,-0.01890000,0.00000000
-0.00630000,-0.00320000,0.10990000,0.01428000,-0.01715000,-0.00119000
-0.00660000,-0.00580000,0.10150000,0.00623000,-0.01596000,0.00091000
-0.00070000,-0.00730000,0.09850000,-0.00245000,-0.01470000,-0.00063000
0.00250000,-0.00270000,0.09060000,-0.00140000,-0.00854000,-0.00070000
0.00250000,-0.00270000,0.09060000,-0.00140000,-0.00854000,-0.00070000
-0.00300000,-0.00420000,0.09930000,0.00616000,-0.00364000,0.00210000
-0.00790000,-0.00410000,0.10180000,0.00399000,-0.00140000,0.00217000
-0.00630000,-0.00280000,0.10310000,-0.00217000,-0.00147000,0.00098000
-0.00410000,-0.00490000,0.09910000,-0.00462000,-0.00266000,0.00119000
-0.00510000,-0.00670000,0.09850000,-0.00238000,-0.00154000,0.00182000
-0.00510000,-0.00670000,0.09850000,0.00042000,0.00042000,0.00252000
-0.00820000,-0.00390000,0.10170000,0.00042000,0.00042000,0.00252000
-0.00830000,-0.00330000,0.10180000,0.00161000,-0.00210000,0.00168000
-0.00720000,-0.00450000,0.10280000,0.00133000,-0.00371000,0.00126000
-0.00710000,-0.00430000,0.10140000,-0.00252000,-0.00378000,0.00049000
-0.00780000,-0.00320000,0.10130000,-0.00553000,-0.00280000,-0.00049000
-0.00770000,-0.00370000,0.10280000,-0.00560000,-0.00280000,-0.00049000
-0.00770000,-0.00370000,0.10280000,-0.00560000,-0.00280000,-0.00049000
-0.00690000,-0.00460000,0.10480000,-0.00602000,-0.00434000,-0.00091000
-0.00640000,-0.00490000,0.10360000,-0.00714000,-0.00539000,-0.00126000
-0.00650000,-0.00520000,0.10110000,-0.00665000,-0.00630000,-0.00133000
-0.00570000,-0.00400000,0.10000000,-0.00385000,-0.00588000,-0.00140000
-0.00440000,-0.00290000,0.09810000,-0.00056000,-0.00476000,-0.00091000
-0.00440000,-0.00330000,0.10190000,0.00175000,-0.00336000,0.00028000
-0.00510000,-0.00330000,0.10190000,0.00175000,-0.00336000,0.00028000
-0.00670000,-0.00500000,0.10080000,0.00133000,-0.00357000,0.00077000
-0.00670000,-0.00500000,0.10080000,0.00133000,-0.00357000,0.00077000
-0.00610000,-0.00550000,0.10180000,0.00077000,-0.00378000,0.00070000
