aX,aY,aZ,gX,gY,gZ
-0.00040000,0.00570000,0.10780000,0.01645000,0.01274000,-0.00987000
-0.01270000,-0.01790000,0.12810000,0.01561000,-0.00560000,-0.01729000
0.00010000,-0.00680000,0.08190000,0.01680000,-0.00301000,-0.01302000
0.00010000,-0.00680000,0.08190000,0.01680000,-0.00301000,-0.01302000
0.01530000,0.00930000,0.08150000,0.03934000,0.01365000,-0.00189000
-0.00150000,0.01440000,0.12720000,0.03220000,0.01701000,0.00791000
-0.01550000,0.01040000,0.10260000,-0.01533000,0.00182000,0.01064000
-0.00700000,0.00880000,0.10320000,-0.04578000,-0.02499000,0.01162000
0.00100000,0.00230000,0.10460000,-0.06335000,-0.04144000,0.00861000
0.00100000,0.00230000,0.10460000,-0.06335000,-0.04144000,0.00861000
0.00290000,0.00050000,0.08930000,-0.05866000,-0.03920000,0.00651000
-0.00260000,-0.00710000,0.10620000,-0.02219000,-0.01617000,0.00210000
0.00070000,-0.00420000,0.09080000,0.00273000,-0.00049000,-0.00161000
0.00780000,0.00250000,0.10360000,0.01141000,-0.00147000,0.00280000
0.00250000,0.00390000,0.09750000,0.00308000,-0.00329000,0.00511000
0.00040000,0.00530000,0.09880000,-0.00378000,-0.00588000,0.00441000
0.00040000,0.00530000,0.09880000,-0.00378000,-0.00588000,0.00441000
0.00260000,-0.00220000,0.10800000,-0.00574000,-0.00924000,-0.00091000
0.00240000,-0.00840000,0.10740000,-0.00931000,-0.01253000,-0.00056000
0.00360000,-0.00270000,0.09510000,-0.00637000,-0.01099000,0.00497000
0.00570000,0.00210000,0.09730000,0.00602000,-0.00266000,0.00623000
0.00300000,0.00290000,0.10060000,0.01421000,0.00434000,0.00378000
0.00300000,0.00290000,0.10060000,0.01421000,0.00434000,0.00378000
-0.00010000,0.00020000,0.10670000,0.00959000,0.00210000,0.00042000
0.00040000,-0.00130000,0.10310000,-0.00287000,-0.00637000,-0.00238000
0.00360000,-0.00300000,0.10010000,-0.00728000,-0.01092000,-0.00378000
0.00550000,-0.00300000,0.09650000,-0.00189000,-0.00791000,-0.00287000
0.00520000,-0.00060000,0.09690000,0.00763000,-0.00175000,-0.00021000
0.00520000,0.00130000,0.10110000,0.01470000,0.00329000,0.00140000
0.00250000,0.00130000,0.10110000,0.01470000,0.00329000,0.00140000
0.00020000,0.00270000,0.10260000,0.01442000,0.00329000,0.00140000
0.00100000,0.00290000,0.10330000,0.00833000,-0.00056000,-0.00014000
0.00270000,0.00150000,0.10190000,0.00035000,-0.00427000,-0.00098000
0.00310000,0.00040000,0.10020000,-0.00420000,-0.00728000,-0.00007000
0.00330000,0.00050000,0.09960000,-0.00182000,-0.00546000,0.00112000
0.00330000,0.00050000,0.09960000,-0.00182000,-0.00546000,0.00112000
0.00250000,0.00070000,0.10140000,0.00203000,-0.00056000,0.00105000
0.00180000,0.00140000,0.10180000,0.00175000,-0.00238000,0.00063000
0.00160000,0.00180000,0.10200000,0.00252000,-0.00196000,0.00056000
0.00160000,0.00180000,0.10200000,0.00252000,-0.00196000,0.00056000
0.00150000,0.00180000,0.10280000,0.00252000,-0.00287000,0.00007000
0.00150000,0.00180000,0.10280000,0.00252000,-0.00287000,0.00007000
0.00200000,0.00190000,0.10080000,0.00196000,-0.00329000,-0.00042000
